provider    model                                              context  max-out  thinking  images
9router     ag/claude-opus-4-6-thinking                        200K     50K      yes       yes   
9router     ag/claude-sonnet-4-6                               1M       128K     yes       yes   
9router     ag/gemini-3-flash                                  1.0M     65.5K    yes       yes   
9router     ag/gemini-3-flash-agent                            1.0M     65.5K    yes       yes   
9router     ag/gemini-3.1-pro-low                              1.0M     65.5K    yes       yes   
9router     ag/gemini-3.5-flash-extra-low                      1.0M     65.5K    yes       yes   
9router     ag/gemini-3.5-flash-high                           1.0M     65.5K    yes       yes   
9router     ag/gemini-3.5-flash-low                            1.0M     65.5K    yes       yes   
9router     ag/gemini-3.6-flash-high                           1.0M     65.5K    yes       yes   
9router     ag/gemini-3.6-flash-low                            1.0M     65.5K    yes       yes   
9router     ag/gemini-3.6-flash-medium                         1.0M     65.5K    yes       yes   
9router     ag/gemini-3.7-flash-high                           1.0M     65.5K    yes       yes   
9router     ag/gemini-3.7-flash-low                            1.0M     65.5K    yes       yes   
9router     ag/gemini-3.7-flash-medium                         1.0M     65.5K    yes       yes   
9router     ag/gemini-pro-agent                                1.0M     64K      no        yes   
9router     ag/gpt-oss-120b-medium                             128K     32K      yes       no    
9router     agent-default                                      128K     16.4K    no        no    
9router     agent-fast                                         128K     16.4K    no        no    
9router     agent-free                                         128K     16.4K    no        no    
9router     agent-local                                        128K     16.4K    no        no    
9router     agent-panel                                        128K     16.4K    no        no    
9router     agent-smart                                        128K     16.4K    no        no    
9router     cx/gpt-5.3-codex-spark                             400K     100K     yes       no    
9router     cx/gpt-5.3-codex-spark-review                      400K     100K     yes       no    
9router     cx/gpt-5.4                                         400K     100K     yes       yes   
9router     cx/gpt-5.4-mini                                    400K     100K     yes       yes   
9router     cx/gpt-5.4-mini-review                             400K     100K     yes       yes   
9router     cx/gpt-5.4-review                                  400K     100K     yes       yes   
9router     cx/gpt-5.5                                         400K     100K     yes       yes   
9router     cx/gpt-5.5-review                                  400K     100K     yes       yes   
9router     cx/gpt-5.6-luna                                    272K     68K      yes       yes   
9router     cx/gpt-5.6-luna-review                             272K     68K      yes       yes   
9router     cx/gpt-5.6-sol                                     372K     93K      yes       yes   
9router     cx/gpt-5.6-sol-review                              372K     93K      yes       yes   
9router     cx/gpt-5.6-terra                                   272K     68K      yes       yes   
9router     cx/gpt-5.6-terra-review                            272K     68K      yes       yes   
9router     ds/deepseek-chat                                   128K     32K      no        no    
9router     ds/deepseek-reasoner                               128K     32K      yes       no    
9router     ds/deepseek-v4-flash                               1M       250K     yes       no    
9router     ds/deepseek-v4-pro                                 1M       250K     yes       no    
9router     ds/deepseek-v4-pro-max                             1M       250K     yes       no    
9router     ds/deepseek-v4-pro-none                            1M       250K     yes       no    
9router     kimchi/deepseek-v4-flash                           1.0M     262.1K   yes       no    
9router     kimchi/deepseek-v4-flash-0731                      1.0M     262.1K   yes       no    
9router     kimchi/glm-5.2-fp8                                 1.0M     131.1K   yes       no    
9router     kimchi/kimi-k2.7                                   262.1K   60K      yes       yes   
9router     kimchi/minimax-m3                                  1.0M     262.1K   yes       yes   
9router     kimchi/nemotron-3-ultra-fp4                        1.0M     66K      yes       no    
9router     nvidia/deepseek-ai/deepseek-v4-flash               1M       65.5K    yes       no    
9router     nvidia/deepseek-ai/deepseek-v4-pro                 1M       65.5K    yes       no    
9router     nvidia/minimaxai/minimax-m2.7                      200K     50K      yes       no    
9router     nvidia/minimaxai/minimax-m3                        512K     128K     yes       yes   
9router     nvidia/moonshotai/kimi-k2.6                        262.1K   65.5K    yes       yes   
9router     nvidia/nemotron-3-ultra-550b-a55b                  128K     32K      yes       no    
9router     nvidia/parakeet-ctc-1.1b-asr                       200K     50K      no        no    
9router     nvidia/z-ai/glm-5.2                                200K     50K      yes       no    
9router     ocg/deepseek-v4-flash                              1M       250K     yes       no    
9router     ocg/deepseek-v4-pro                                1M       250K     yes       no    
9router     ocg/glm-5.1                                        200K     50K      yes       no    
9router     ocg/glm-5.2                                        200K     50K      yes       no    
9router     ocg/kimi-k2.6                                      262.1K   65.5K    yes       yes   
9router     ocg/kimi-k2.7-code                                 262.1K   65.5K    yes       yes   
9router     ocg/mimo-v2.5                                      1.0M     131.1K   no        yes   
9router     ocg/mimo-v2.5-pro                                  1.0M     131.1K   no        yes   
9router     ocg/minimax-m2.5                                   200K     50K      yes       no    
9router     ocg/minimax-m2.7                                   204.8K   51.2K    yes       no    
9router     ocg/minimax-m3                                     1.0M     262.1K   yes       yes   
9router     ocg/qwen3.6-plus                                   1M       65.5K    yes       yes   
9router     ocg/qwen3.7-max                                    1M       65.5K    yes       no    
9router     ocg/qwen3.7-plus                                   1M       65.5K    yes       yes   
9router     ollama/glm-4.7-flash                               200K     50K      yes       no    
9router     ollama/glm-5                                       200K     50K      yes       no    
9router     ollama/gpt-oss:120b                                128K     32K      yes       no    
9router     ollama/kimi-k2.5                                   262.1K   65.5K    yes       yes   
9router     ollama/minimax-m2.5                                200K     50K      yes       no    
9router     ollama/minimax-m3                                  1.0M     262.1K   yes       yes   
9router     ollama/qwen3.5                                     1M       65.5K    yes       yes   
9router     openrouter/cohere/north-mini-code:free             200K     50K      no        no    
9router     openrouter/nvidia/nemotron-3-ultra-550b-a55b:free  128K     32K      yes       no    
9router     openrouter/openrouter/free                         200K     50K      no        no    
9router     openrouter/tencent/hy3:free                        262.1K   65.5K    yes       no    
9router     subagent-default                                   128K     16.4K    no        no    
9router     xmtp/mimo-v2-omni                                  262.1K   65.5K    no        yes   
9router     xmtp/mimo-v2-pro                                   262.1K   65.5K    no        yes   
9router     xmtp/mimo-v2-tts                                   262.1K   65.5K    no        yes   
9router     xmtp/mimo-v2.5                                     1.0M     131.1K   no        yes   
9router     xmtp/mimo-v2.5-pro                                 1.0M     131.1K   no        yes   
9router     xmtp/mimo-v2.5-pro-claude                          200K     50K      yes       yes   
9router     xmtp/mimo-v2.5-tts                                 1.0M     131.1K   no        yes   
9router     xmtp/mimo-v2.5-tts-voiceclone                      1.0M     131.1K   no        yes   
9router     xmtp/mimo-v2.5-tts-voicedesign                     1.0M     131.1K   no        yes   
llama-swap  Gemma-4-12B-coder-fable5-composer2.5-v1            254.0K   8.2K     yes       no    
llama-swap  Gemma4-26B-A4B                                     24.6K    6.1K     yes       no    
llama-swap  Gemma4-31B                                         24.6K    6.1K     yes       no    
llama-swap  Laguna-S-2.1                                       49.2K    16.4K    yes       no    
llama-swap  Qwen3.8-27B                                        106.5K   24.6K    yes       no    
llama-swap  Qwen3.8-27B-agent                                  24.6K    6.1K     yes       no    
